category,selected_cost_method,blocked_7d_mae,mae_last,mae_mean7,mae_mean14,mae_mean28,mae_ewma
水生根茎类,mean7,1.1720848559788486,1.5132540845880416,1.1720848559788486,1.1926010020005073,1.2732390694715447,1.2513371620418203
花叶类,ewma,0.25230038226554335,0.27072822920892614,0.2790249446812266,0.30371244969815864,0.31977107711508135,0.25230038226554335
花菜类,last,0.5854604087161447,0.5854604087161447,0.7300892096157517,0.8503400872917602,0.9846609831455492,0.6560392147315257
茄类,last,0.5236447094785688,0.5236447094785688,0.7948454513940525,0.9597567655260091,0.9647083088376576,0.659190972637272
辣椒类,mean14,0.3680862868569168,0.42269208292904464,0.3707593170623555,0.3680862868569168,0.425158284697097,0.3767470824960225
食用菌,mean7,0.3281797582854039,0.5138570397982456,0.3281797582854039,0.3335939016594862,0.3693125130044055,0.34408552115100827

